단어,카테고리,등급,뜻풀이
가격,경제,1,물건의 가치를 돈으로 나타낸 것.
가결,일상,3,회의에 제출된 안건을 좋다고 인정하여 결정함.
가계,경제,3,경제 단위로서의 가정.
가계부,경제,3,집안 살림의 수입과 지출을 기록하는 책.
가계약,경제,2,임시로 하는 계약.
가공인물,일상,3,"실제로는 존재하지 않는, 상상으로 만들어 낸 인물."
가관,일상,3,(비웃는 말로) 행동이나 모습 등이 마음에 들지 않거나 우스움.
가구,일상,1,"집 안에서 쓰이는 침대, 옷장, 식탁 등과 같은 기구."
가독성,일상,3,책이나 인쇄물 등이 쉽게 읽히는 정도.
가랑비,일상,2,가늘게 내리는 비.
가랑잎,일상,3,나무에서 떨어진 마른 잎.
가로수,일상,3,길을 따라 줄지어 심은 나무.
가리비,일상,2,부채같이 생긴 껍데기를 가진 큰 조개.
가마니,일상,3,"곡식이나 소금, 비료 등을 담기 위해 짚으로 만든 큰 주머니."
가마솥,일상,2,요리하는 데 쓰는 크고 우묵한 솥.
가무,일상,3,노래와 춤.
가물치,일상,3,몸이 둥글고 길며 등에 검푸른 무늬가 있는 민물고기.
가뭄,일상,2,오랫동안 비가 오지 않는 날씨.
가방,일상,1,물건을 넣어 손에 들거나 어깨에 멜 수 있게 만든 것.
가보,일상,3,한 집안에서 대대로 전해 오는 귀중한 물건.
가부장제,일상,3,한 집안에서 가장 나이가 많고 권위가 있는 남자가 가족을 지배하는 가족 형태.
가부좌,일상,3,"불교에서, 두 발을 각각 양쪽 허벅지 위에 올려놓고 앉는 자세."
가분수,일상,3,"수학에서, 분자와 분모가 같거나 분자가 분모보다 큰 분수."
가산금리,경제,2,기준금리에 신용도 등을 고려해 더하는 금리
가산점,일상,3,특별한 이유로 더 더해지는 점수.
가상화폐,경제,3,디지털 공간에서 화폐처럼 쓰이는 자산
가솔린,일상,2,"석유에서 뽑아낸, 자동차나 비행기 등의 연료로 쓰이는 액체."
가수,일상,1,노래하는 일을 직업으로 하는 사람.
가슴앓이,일상,3,안타까워하며 마음속으로만 괴로워함.
가습기,일상,2,수증기를 내어 방 안의 습도를 조절하는 기구.
가시고기,일상,3,등지느러미 앞에 작은 가시들이 있는 맑은 물에 사는 민물고기.
가시광선,일상,3,사람의 눈으로 볼 수 있는 빛.
가시방석,일상,3,(비유적으로) 앉아 있기가 몹시 거북하고 불안한 자리.
가십거리,일상,2,사람들 사이에서 가벼운 화제가 될 만한 일이나 사건.
가야금,일상,3,열두 줄의 현을 손가락으로 뜯어 소리를 내는 한국의 전통 현악기 중 하나.
가업,경제,2,한 집안에서 대대로 이어서 하는 사업.
가장자리,일상,3,어떤 것의 둘레나 끝이 되는 부분.
가장행렬,일상,2,운동회나 축제 등에서 여러 사람이 갖가지 모습으로 꾸미고 줄지어 가는 일. 또는 그 행렬.
가재도구,일상,3,가정 생활에 필요한 여러 가지 물건.
가전제품,일상,2,가정에서 사용하는 전기 기구.
가정법,일상,3,말하는 내용이 가정이나 바람임을 문법적으로 나타내는 문장 표현법.
가정불화,일상,3,가족이 화목하지 못함.
가정생활,일상,2,가정을 이루어 그 안에서 사는 생활.
가족계획,일상,2,부부가 자녀의 수나 출산의 간격을 조절하기 위해 세우는 계획.
가지,일상,1,"검은 자주색의 긴 원통 모양이며 익혀서 반찬으로 먹는 열매, 또는 그 열매가 열리는 풀."
가지각색,일상,3,모양이나 성질 등이 서로 다른 여러 가지.
가지치기,일상,3,식물이 잘 자라게 하고 열매가 많이 나게 하거나 모양을 좋게 하기 위해 가지를 자르고 다듬는 일.
가짜,일상,2,진짜처럼 꾸몄지만 진짜가 아닌 것.
가타부타,일상,3,"옳거나 그르다고, 또는 좋거나 싫다고 함."
가톨릭교,일상,3,그리스도의 정통 가르침을 믿는 종교.
가해자,일상,3,다른 사람에게 해를 준 사람.
가화만사성,고사성어,3,집안이 화목하면 모든 일이 잘 풀린다
각골난망,고사성어,4,남에게 입은 은혜가 너무 커서 뼈에 새겨 잊지 못한다
각뿔,일상,3,밑면이 다각형이고 여러 개의 삼각형인 옆면으로 둘러싸인 입체 도형.
각양각색,일상,3,여러 가지의 모양과 색깔.
각축장,일상,3,서로 이기려고 맞서서 다투는 곳.
각하,일상,3,법에서 소장이나 신청을 거절함.
간병인,일상,2,아픈 사람을 돌보아 주는 사람.
간식,일상,1,식사와 식사 사이에 간단히 먹는 음식.
간식거리,일상,2,끼니 외에 간단히 먹을 만한 음식.
