단어,힌트1,힌트2
가화만사성,집안이 화목하면 모든 일이 잘 풀린다는 뜻입니다.,온 가족이 화합하면 어떤 일이든 순조롭게 이루어집니다.
각골난망,남에게 입은 은혜가 너무 커서 뼈에 새겨 잊지 못합니다.,잊을 수 없는 고마움을 평생 마음속 깊이 간직하는 상태입니다.
감개무량,마음속 깊은 곳에서부터 느껴지는 한량없는 감동입니다.,옛일을 생각하며 마음이 벅차고 감회가 매우 깊습니다.
감지덕지,분의 넘치는 대우를 받아 고맙게 여기는 모양입니다.,매우 귀하고 고맙게 생각하여 소중히 대하는 태도입니다.
개과천선,지난날의 잘못을 뉘우치고 착한 사람으로 다시 태어납니다.,허물을 고쳐 올바르고 선한 길로 들어서는 것을 의미합니다.
거두절미,머리와 꼬리를 잘라내듯 핵심만을 간결하게 말합니다.,사설을 줄이고 본론만 간략하게 이야기할 때 쓰는 말입니다.
거자필반,떠난 사람은 반드시 돌아오게 되어 있다는 뜻입니다.,만남이 있으면 언젠가는 헤어지고 또다시 만남이 있습니다.
결사항전,죽기를 각오하고 끝까지 굽히지 않고 싸우는 모습입니다.,물러서지 않고 목숨을 걸고 마지막까지 저항하는 태도입니다.
결초보은,죽어서도 잊지 않고 은혜를 갚겠다는 굳은 의지입니다.,풀을 묶어서라도 받은 은혜를 반드시 보답하겠다는 뜻입니다.
경거망동,깊은 생각 없이 가볍고 경솔하게 행동하는 것을 경계합니다.,아무런 생각 없이 되는대로 함부로 움직이는 행동입니다.
계륵,큰 쓸모는 없으나 버리기에는 아까운 것을 의미합니다.,닭의 갈비라는 뜻으로 이러지도 저러지도 못하는 상황입니다.
고공행진,물가나 주가 등이 계속해서 높게 치솟는 상황입니다.,어떤 기세나 상태가 꺾이지 않고 계속 높게 유지됩니다.
고군분투,도와줄 사람 없이 혼자서 힘겹게 싸워나가는 모습입니다.,소수의 인원으로 큰 어려움에 맞서 애쓰는 상황입니다.
고진감래,고생 끝에 낙이 온다는 희망적인 가르침입니다.,힘든 시기를 잘 견뎌내면 반드시 즐거운 일이 찾아옵니다.
곡학아세,학문을 굽혀 세상 사람들에게 아첨하는 태도입니다.,정도를 벗어나 그릇된 지식으로 권력이나 인기를 탐합니다.
구사일생,죽을 고비를 여러 번 넘기고 가까스로 살아납니다.,거의 죽을 뻔한 위기에서 간신히 목숨을 건진 상태입니다.
권모술수,목적을 위해 수단과 방법을 가리지 않는 술책입니다.,사람을 속이거나 남을 이용하는 교묘한 책략입니다.
권선징악,착한 일을 권하고 악한 일을 벌한다는 교훈입니다.,옳은 행동은 상을 주고 나쁜 행동은 징계를 내리는 도리입니다.
근묵자흑,먹을 가까이하면 검어진다는 뜻으로 환경의 중요성을 강조합니다.,나쁜 친구와 어울리면 자신도 물들 수 있다는 경고입니다.
금의환향,비단 옷을 입고 고향으로 돌아와 성공을 과시합니다.,출세하여 고향에 돌아와 자랑스럽게 입신양명함을 뜻합니다.
다재다능,여러 방면에 재주가 많고 뛰어난 능력을 지녔습니다.,재능이 다양하여 다방면에서 유능하게 활약합니다.
단도직입,머뭇거리지 않고 바로 본론으로 들어가는 말입니다.,복잡한 설명 없이 단번에 요점을 찔러 말하는 방식입니다.
대기만성,큰 그릇은 늦게 이루어지듯 큰 인물은 나중에 성공합니다.,시간이 걸리더라도 결국 큰 성취를 이루는 사람을 비유합니다.
독야청청,홀로 푸르게 서 있는 소나무처럼 절개가 굳습니다.,남들이 어떻게 하든 꿋꿋하게 자신의 지조를 지킵니다.
동분서주,이곳저곳 바쁘게 뛰어다니며 분주히 활동합니다.,정신없이 바쁜 나날을 보내며 일을 처리하는 모습입니다.
동서고금,동양과 서양 그리고 옛날과 오늘날을 통틀어 이릅니다.,시대와 장소를 가리지 않고 어디서나 적용되는 원리입니다.
득의양양,뜻한 바를 이루어 매우 만족스럽고 뽐내는 모양입니다.,성공하여 자신감이 넘치고 자랑스러워하는 기색입니다.
막무가내,고집이 너무 세서 도무지 말을 듣지 않는 태도입니다.,어찌할 도리가 없을 정도로 막연하고 답답한 상황입니다.
만사형통,모든 일이 막힘없이 순조롭게 다 잘 풀립니다.,바라는 모든 것이 원하는 대로 이루어지는 상태입니다.
만신창이,몸과 마음이 매우 지치거나 상처투성이가 되었습니다.,어떤 일로 인해 몰골이 엉망이 된 상태를 일컫습니다.
